project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
QUARRY KNOLL,14A Quarry Knls,Greenwich,06830,2,Public_Housing,Greenwich Housing Authority,,No
New Communities/Mary Shephard Place,177 Kensington St,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
ST. ANTHONY II,1363C Quinnipiac Ave,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,1797 N Main St,Waterbury,06704,2,Public_Housing,Waterbury Housing Authority,,No
SCATTERED SITES - III,21 Fiore St,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
Quinnipiac Terrace Phase II,18 Del Rio Dr,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
SBONA TOWERS,35 Maplewood Ter,Middletown,06457,2,Public_Housing,Middletown Housing Authority,,No
New Communities/Mary Shephard Place,89 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
BOSTON COMMONS,66 Carleton Ave,Bridgeport,06604,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES - III,17 Orchard Ave,New Haven,06512,2,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITE,420 Park Ave,Bloomfield,06002,2,Public_Housing,Bloomfield Housing Authority,,No
MAYFAIR GARDENS,21 Lisa Dr,Manchester,06042,2,Public_Housing,Manchester Housing Authority,,No
HARTFORD SCATTERED SITE I,165 Wooster St,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
CAMBRIDGE PARK,75C Union St,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
QUARRY KNOLL,7A Quarry Knls,Greenwich,06830,2,Public_Housing,Greenwich Housing Authority,,No
MEADOW GARDENS,51 Elmwood Ave,Norwalk,06854,2,Public_Housing,Housing Authority Of The City Of Norwalk,,No
Brookside Phase II,2 Monroe St,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
WESTHILL GARDENS ANNEX,170A Spruce St,Manchester,06040,2,Public_Housing,Manchester Housing Authority,,No
WELLES VILLAGE,38 Wyllys St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
BOSTON COMMONS,102 W Liberty St,Bridgeport,06604,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,50 Deming Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
AUSTIN RD & S END TURNKY,454 Baldwin St,Waterbury,06706,2,Public_Housing,Waterbury Housing Authority,,No
MAYFAIR GARDENS,92 Bissell St,Manchester,06040,2,Public_Housing,Manchester Housing Authority,,No
BOSTON COMMONS,1442 Iranistan Ave,Bridgeport,06605,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
ST. ANTHONY II,425A Eastern St,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,89 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WESTHILL GARDENS ANNEX,38 Wilfred Rd,Manchester,06040,2,Public_Housing,Manchester Housing Authority,,No
HOCKANUM PARK,16 Elms Village Dr,East Hartford,06118,2,Public_Housing,East Hartford Housing Authority,,No
ST. ANTHONY II,1363G Quinnipiac Ave,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,138 Scofield Ave,Bridgeport,06605,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,769 Shelton St,Bridgeport,06608,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,64 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
New Communities/Mary Shephard Place,11 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
LAUREL GARDENS,13A Hoyt St,Danbury,06810,2,Public_Housing,Housing Authority of the City of Danbury,,No
WELLES VILLAGE,60 Wyllys St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
HOCKANUM PARK,15 Mill Rd,East Hartford,06118,2,Public_Housing,East Hartford Housing Authority,,No
OAKWOOD KNOLL,14 Swan Ave,Norwich,06360,2,Public_Housing,Norwich Housing Authority,,No
CAMBRIDGE PARK,146 Jerome Ave,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
SCATTERED SITES - III,1091 Townsend Ave,New Haven,06512,2,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,86 Seeley St,Bridgeport,06604,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
MAYFAIR GARDENS,15 Lisa Dr,Manchester,06042,2,Public_Housing,Manchester Housing Authority,,No
New Communities/Mary Shephard Place,19 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
MAYFAIR GARDENS,20 Lisa Dr,Manchester,06042,2,Public_Housing,Manchester Housing Authority,,No
ST. ANTHONY II,1363K Quinnipiac Ave,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
New Communities/Mary Shephard Place,58 Kensington St,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
MASTER CONTRACT - CREATIVE CHOICE,50 Birdsey St,Bridgeport,06610,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,63 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
CAMBRIDGE PARK,130 Jerome Ave,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
BOSTON COMMONS,1432 Iranistan Ave,Bridgeport,06605,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,9 Webster Ln,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
CAMBRIDGE PARK,73 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,241 Salem St,Bridgeport,06606,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,22 Wyllys St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,33 Deming Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
LAUREL GARDENS,67B Osborne St,Danbury,06810,2,Public_Housing,Housing Authority of the City of Danbury,,No
WELLES VILLAGE,64 Risley Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,16 Webster Ln,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
URSULA PARK TOWNHOUSES,37 Sheridan St,Stamford,06902,2,Public_Housing,Housing Authority of the City of Stamford,,No
MASTER CONTRACT - CREATIVE CHOICE,51 Belmont Ave,Bridgeport,06605,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,21 Webster Ln,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Family Scattered Sites,76 Atwater St,Milford,06460,2,Public_Housing,Milford Redevelopment and Housing Partnership,,No
CAMBRIDGE PARK,174 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
COURT TOWERS,6 Becker Pl,Rockville,06066,2,Public_Housing,Vernon Housing Authority,,No
WELLES VILLAGE,69 Denslow Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
CAMBRIDGE PARK,179 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
WELLES VILLAGE,79 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WESTHILL GARDENS ANNEX,24 Horace St,Manchester,06040,2,Public_Housing,Manchester Housing Authority,,No
WELLES VILLAGE,116 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,32 Denslow Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
BOSTON COMMONS,530 Newfield Ave,Bridgeport,06607,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,122 Kensington St,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
Rockview Phase 1 Rental,5 Rock View Cir,New Haven,06515,2,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,130 Parrott Ave,Bridgeport,06606,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
CAMBRIDGE PARK,79 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,428 Connecticut Ave,Bridgeport,06607,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
QUARRY KNOLL,15A Quarry Knls,Greenwich,06830,2,Public_Housing,Greenwich Housing Authority,,No
Rockview Phase 1 Rental,11 Rock View Cir,New Haven,06515,2,Public_Housing,Housing Authority of the City of New Haven,,No
CAMBRIDGE PARK,98 Jerome Ave,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
SCATTERED SITES-II,123 County St,New Haven,06511,2,Public_Housing,Housing Authority of the City of New Haven,,No
CAMBRIDGE PARK,163 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
CAMBRIDGE PARK,203 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
WELLES VILLAGE,60 Risley Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
New Communities/Mary Shephard Place,54 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
QUARRY KNOLL,22A Quarry Knls,Greenwich,06830,2,Public_Housing,Greenwich Housing Authority,,No
WELLES VILLAGE,73 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,20 Risley Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
New Communities/Mary Shephard Place,78 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
CAMBRIDGE PARK,75A Union St,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
CAMBRIDGE PARK,74 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
CAMBRIDGE PARK,130 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
WELLES VILLAGE,32 Deming Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
CAMBRIDGE PARK,154 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
HARTFORD SCATTERED SITE I,287 Bellevue St,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
New Communities/Mary Shephard Place,94 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
QUARRY KNOLL,6A Quarry Knls,Greenwich,06830,2,Public_Housing,Greenwich Housing Authority,,No
ST. ANTHONY II,67 Fulton St,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,315 Ezra St,Bridgeport,06606,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,50 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
WELLES VILLAGE,14 Denslow Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
New Communities/Mary Shephard Place,66 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
716-720 Pembroke Street,716 Pembroke St,Bridgeport,06608,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,27 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
ST. ANTHONY II,1363A Quinnipiac Ave,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,119 Harris St,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
QUARRY KNOLL,13A Quarry Knls,Greenwich,06830,2,Public_Housing,Greenwich Housing Authority,,No
New Communities/Mary Shephard Place,82 Theodore Napper Ln,Hartford,06120,2,Public_Housing,Housing Authority of the City of Hartford,,No
WELLES VILLAGE,51 Risley Rd,Glastonbury,06033,2,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Palmer Square,15 Rockfield Dr,Stamford,06902,2,Public_Housing,Housing Authority of the City of Stamford,,No
Brookside Phase I,7 Austin St,New Haven,06515,2,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,98 Summerfield Ave,Bridgeport,06610,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
ST. ANTHONY II,425G Eastern St,New Haven,06513,2,Public_Housing,Housing Authority of the City of New Haven,,No
CAMBRIDGE PARK,64 Davis Dr,Bristol,06010,2,Public_Housing,Bristol Housing Authority,,No
MAYFAIR GARDENS,15 Orchard St,Manchester,06040,2,Public_Housing,Manchester Housing Authority,,No
URSULA PARK TOWNHOUSES,33 Sheridan St,Stamford,06902,2,Public_Housing,Housing Authority of the City of Stamford,,No
BOSTON COMMONS,85 Concord St,Bridgeport,06610,2,Public_Housing,Housing Authority of the City of Bridgeport,,No
MAYFAIR GARDENS,88 Clinton St,Manchester,06040,2,Public_Housing,Manchester Housing Authority,,No
EDEN DRIVE,52 Clearview Ave,Danbury,06811,1,Public_Housing,Housing Authority of the City of Danbury,,No
Rockview Phase 1 Rental,13 Rock View Cir,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
EDEN DRIVE,2 Merrimac St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
BOSTON COMMONS,581 Soundview Ave,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Brookside Phase II,37 Austin St,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,29 Deming Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
New Communities/Mary Shephard Place,124 Hampton St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITES - III,69 Rock St,New Haven,06511,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,51 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Fairgate,15 Fairfield Ave,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
SCATTERED SITES - III,6 Townsend Ave,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,60 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
EDEN DRIVE,29 Liberty Ave,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
SCATTERED SITES - III,1042 Townsend Ave,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,800 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,91 Lorraine St,Bridgeport,06604,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,25 Deming Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Palmer Square,28 Stoneridge Cir,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
SCATTERED SITES-II,91 Long Hill Ter,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,135 Houston Ave,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,15 Fairview Avenue Ext,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Brookside Phase II,5 Monroe St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
Brookside Phase I,5 Austin St,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
EDEN DRIVE,16 Lincoln Ave,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
MASTER CONTRACT - CREATIVE CHOICE,249 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,849 Platt St,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,199 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,13 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
LAUREL GARDENS,127 Westville Ave,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
LAUREL GARDENS,8 Grove Pl,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
ST. ANTHONY II,1378 Quinnipiac Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,96 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Brookside Phase I,1 Walden St,New Haven,06517,1,Public_Housing,Housing Authority of the City of New Haven,,No
ST. ANTHONY II,55 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
Palmer Square,22 Stoneridge Cir,Stamford,06902,1,Public_Housing,Housing Authority of the City of Stamford,,No
MASTER CONTRACT - CREATIVE CHOICE,248 Horace St,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMAN APTS,28 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
EDEN DRIVE,9 Brushy Hill Rd,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
WELLES VILLAGE,129 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,310 Valley Ave,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES - III,54 Downing St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,98 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
Brookside Phase II,25 Austin St,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITES - III,25 Palmieri Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
LAUREL GARDENS,10 1st St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
TRUMAN APTS,226 Orange St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
New Communities/Mary Shephard Place,102 Hampton St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
New Communities/Mary Shephard Place,105 Kensington St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITE,142 Tunxis Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,49 Martin Luther King Dr,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,16 Bates Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,183 Main St,Bridgeport,06604,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES - III,20 Skyview Ln,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,82 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITE,3 Dale Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
CAMBRIDGE PARK,189 Davis Dr,Bristol,06010,1,Public_Housing,Bristol Housing Authority,,No
Brookside Phase II,23 Austin St,New Haven,06515,1,Public_Housing,Housing Authority of the City of New Haven,,No
New Communities/Mary Shephard Place,150 Nilan St,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
ST. ANTHONY II,1376 Quinnipiac Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITE,9 Glenwood Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
WELLES VILLAGE,130 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
EDEN DRIVE,4 Hager St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
WELLES VILLAGE,57 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
BOSTON COMMONS,826 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,56 Birdsey St,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,130 Hampton St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
WELLES VILLAGE,37 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
TRUMAN APTS,58 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,1435 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES - III,16 Eastern St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
SCATTERED SITES - III,280 Weybosset St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,54 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,23 Webster Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,75 Martin Luther King Dr,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,73 Margarita Dr,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITE,35 Brookdale Ave,Bloomfield,06002,1,Public_Housing,Bloomfield Housing Authority,,No
BOSTON COMMONS,23 Martin Luther King Dr,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,52 Harris St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
LAUREL GARDENS,12 Beckerle St,Danbury,06811,1,Public_Housing,Housing Authority of the City of Danbury,,No
WELLES VILLAGE,56 Deming Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
MASTER CONTRACT - CREATIVE CHOICE,156 Sunshine Cir,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,18 Bates Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITES - III,351 Concord St,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
ST. ANTHONY II,44 Chamberlain St,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,7 Fairview Avenue Ext,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
New Communities/Mary Shephard Place,158 Nilan St,Hartford,06106,1,Public_Housing,Housing Authority of the City of Hartford,,No
ST. ANTHONY II,63 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
Beckerle and Forest Ave,38 Beckerle St,Danbury,06811,1,Public_Housing,Housing Authority of the City of Danbury,,No
WELLES VILLAGE,60 Denslow Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITES - III,57 Mountain Top Ln,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,1373 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
Brookside Phase II,4 Portland St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,238 Horace St,Bridgeport,06610,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,101 Lorraine St,Bridgeport,06604,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
WELLES VILLAGE,12 Bates Ln,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
TRUMAN APTS,45 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
SCATTERED SITES - III,1767 Quinnipiac Ave,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
AUSTIN RD & S END TURNKY,462 Baldwin St,Waterbury,06706,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,11 Deming Rd,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
TRUMAN APTS,210 Orange St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
SCATTERED SITES - III,140 Harrington Ave,New Haven,06512,1,Public_Housing,Housing Authority of the City of New Haven,,No
EDEN DRIVE,8 E Broad St,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
TRUMAN APTS,208 Orange St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
New Communities/Mary Shephard Place,77 Kensington St,Hartford,06120,1,Public_Housing,Housing Authority of the City of Hartford,,No
ST. ANTHONY II,54 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,50 Bishop St,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
WELLES VILLAGE,95 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
WELLES VILLAGE,3 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
SCATTERED SITES - III,169 Weybosset St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
LAUREL GARDENS,14 Ford Ave,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
ST. ANTHONY II,61 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
WELLES VILLAGE,103 Wyllys St,Glastonbury,06033,1,Public_Housing,Housing Authority of the Town of Glastonbury,,No
LAUREL GARDENS,19 Terre Haute Rd,Danbury,06810,1,Public_Housing,Housing Authority of the City of Danbury,,No
ST. ANTHONY II,56 Kingswood Dr,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
BOSTON COMMONS,396 Clark St,Bridgeport,06606,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,185 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMAN APTS,26 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,38 Catherine Ave,Waterbury,06704,1,Public_Housing,Waterbury Housing Authority,,No
BOSTON COMMONS,838 Pembroke St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,217 Laurel Ave,Bridgeport,06605,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,261 Hallett St,Bridgeport,06608,1,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES - III,625 Russell St,New Haven,06513,1,Public_Housing,Housing Authority of the City of New Haven,,No
